codigo_isco,ocupacion,DAIOE_2023,gran_grupo,categoria
4413,"Coding, proof-reading and related clerks",56.77,4 Empleados admin.,Mayor exposición
2514,Applications programmers,49.48,2 Téc. y prof. científicos,Mayor exposición
2120,"Mathematicians, actuaries and statisticians",47.72,2 Téc. y prof. científicos,Mayor exposición
3314,"Statistical, mathematical and related associate professionals",47.37,3 Téc. y prof. de apoyo,Mayor exposición
2512,Software developers,47.28,2 Téc. y prof. científicos,Mayor exposición
2641,Authors and related writers,47.13,2 Téc. y prof. científicos,Mayor exposición
4313,Payroll clerks,46.88,4 Empleados admin.,Mayor exposición
2431,Advertising and marketing professionals,46.41,2 Téc. y prof. científicos,Mayor exposición
2521,Database designers and administrators,46.38,2 Téc. y prof. científicos,Mayor exposición
2513,Web and multimedia developers,45.66,2 Téc. y prof. científicos,Mayor exposición
2653,Dancers and choreographers,17.64,2 Téc. y prof. científicos,Menor exposición
3421,Athletes and sports players,18.68,3 Téc. y prof. de apoyo,Menor exposición
7121,Roofers,21.32,7 Artesanos manuf./constr.,Menor exposición
5411,Fire-fighters,22.04,5 Servicios y vendedores,Menor exposición
5413,Prison guards,22.04,5 Servicios y vendedores,Menor exposición
5412,Police officers,22.53,5 Servicios y vendedores,Menor exposición
7113,"Stonemasons, stone cutters, splitters and carvers",22.74,7 Artesanos manuf./constr.,Menor exposición
3221,Nursing associate professionals,22.77,3 Téc. y prof. de apoyo,Menor exposición
3258,Ambulance workers,23.28,3 Téc. y prof. de apoyo,Menor exposición
9313,Building construction labourers,23.39,9 Ocupaciones elementales,Menor exposición
