year,0 Militares,1 Directores/gerentes,2 Téc. y prof. científicos,3 Téc. y prof. de apoyo,4 Empleados admin.,5 Servicios y vendedores,6 Cualific. agric./pesca,7 Artesanos manuf./constr.,8 Operadores instal./maquinaria,9 Ocupaciones elementales
2010,0.32,0.26,0.3,0.27,0.29,0.22,0.21,0.23,0.22,0.2
2011,0.54,0.43,0.5,0.45,0.49,0.36,0.35,0.38,0.37,0.34
2012,0.81,0.66,0.75,0.67,0.75,0.55,0.52,0.55,0.54,0.5
2013,3.68,2.91,3.34,3.34,3.48,2.86,3.15,3.38,3.41,3.15
2014,6.08,4.82,5.52,5.51,5.76,4.72,5.15,5.55,5.58,5.17
2015,10.64,8.58,9.81,9.55,10.25,8.22,8.55,9.24,9.23,8.59
2016,16.89,13.74,15.72,14.7,16.03,12.47,12.33,13.43,13.23,12.34
2017,17.57,14.29,16.36,15.26,16.68,12.95,12.75,13.88,13.68,12.76
2018,20.57,16.76,19.18,17.85,19.56,15.16,14.84,16.17,15.91,14.86
2019,26.83,21.89,25.05,23.26,25.58,19.76,19.22,20.94,20.59,19.27
2020,29.96,24.53,28.06,25.79,28.58,21.88,20.95,22.84,22.39,20.99
2021,32.86,26.92,30.81,28.1,31.25,23.77,22.52,24.56,24.01,22.54
2022,35.84,29.49,33.75,30.49,34.18,25.77,24.01,26.22,25.57,24.05
2023,40.01,33.18,37.93,33.88,38.5,28.67,26.02,28.45,27.67,26.12
