codigo_isco,ocupacion,gran_grupo,DAIOE_2019,DAIOE_2023,aceleracion
4413,"Coding, proof-reading and related clerks",4 Empleados admin.,36.32,56.77,20.45
2514,Applications programmers,2 Téc. y prof. científicos,32.47,49.48,17.01
2120,"Mathematicians, actuaries and statisticians",2 Téc. y prof. científicos,30.82,47.72,16.9
2641,Authors and related writers,2 Téc. y prof. científicos,30.27,47.13,16.86
2431,Advertising and marketing professionals,2 Téc. y prof. científicos,29.88,46.41,16.53
4313,Payroll clerks,4 Empleados admin.,30.43,46.88,16.45
3314,"Statistical, mathematical and related associate professionals",3 Téc. y prof. de apoyo,31.19,47.37,16.18
3342,Legal secretaries,3 Téc. y prof. de apoyo,29.48,45.61,16.13
2512,Software developers,2 Téc. y prof. científicos,31.19,47.28,16.09
2412,Financial and investment advisers,2 Téc. y prof. científicos,29.03,45.09,16.06
2631,Economists,2 Téc. y prof. científicos,28.45,44.47,16.02
2413,Financial analysts,2 Téc. y prof. científicos,29.37,45.21,15.84
2112,Meteorologists,2 Téc. y prof. científicos,28.35,44.17,15.82
2411,Accountants,2 Téc. y prof. científicos,29.24,44.93,15.69
2633,"Philosophers, historians and political scientists",2 Téc. y prof. científicos,27.32,42.97,15.65
